_id,geometry.location.lat,geometry.location.lng,name,place_id,rating,types,vicinity
5f7b41325dec41f3cdce1148,-31.9730981,115.8523315,The Windsor Hotel,ChIJl6gPqjS7MioRg537vRedN5o,4.1,"[""lodging"",""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","112 Mill Point Road, South Perth"
5f7b41325dec41f3cdce1149,-31.9555,115.8583336,Lalla Rookh,ChIJyxKsANa6MioRT2BRGUgrY88,4.1,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","77 Saint Georges Terrace, Perth"
5f7b41325dec41f3cdce114a,-31.93436380000001,115.8724723,Grand Cru Wine Shop,ChIJVyQhB8G6MioRns2xPVTaULg,4.3,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","654 Beaufort Street, Mount Lawley"
5f7b41325dec41f3cdce114b,-31.944208,115.862527,VHT Perth Supermarket & Liquor Store,ChIJO34GXca6MioR94s54k9aKJ4,3.7,"[""supermarket"",""grocery_or_supermarket"",""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","410-412 William Street, Perth"
5f7b41325dec41f3cdce114c,-31.94558079999999,115.8425527,Liquor Store Association,ChIJaeF8W7i6MioR8ksyMplPx-o,,"[""bar"",""liquor_store"",""point_of_interest"",""store"",""establishment""]","Centrepoint Tower, 25/123B Colin Street, West Perth"
5f7b41325dec41f3cdce114d,-31.9580054,115.8709699,Bottlemart,ChIJfT3XXiG7MioRBIU8ailKPoM,3.3,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","248 Hay Street, Perth"
5f7b41325dec41f3cdce114e,-31.9546995,115.8736882,Cellarbrations,ChIJ0xg_TiC7MioRVQsXNCvGFmY,4.7,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","144 Bennett Street, East Perth"
5f7b41325dec41f3cdce114f,-31.9472412,115.8325576,Liquorland Subiaco,ChIJe2wEXDylMioRswsQ6kzcEIE,3.9,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","Corner Coghlan Road And, Hay Street, Subiaco"
5f7b41325dec41f3cdce1150,-31.953236,115.8603911,BWS Murray Street,ChIJ01aw_ta6MioR3aJNYtcx0sQ,4.1,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","166 Murray Street, Perth"
5f7b41325dec41f3cdce1151,-31.9523257,115.857809,Saracen Estates,ChIJia0ZmA5rrwERyqIELDItBqw,,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","342 Murray Street, Perth"
5f7b41325dec41f3cdce1152,-31.952066,115.8558271,Holmes & Co,ChIJed9xiNa6MioRhGtN1S1hCp0,4.6,"[""bar"",""cafe"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","329 Murray Street, Perth"
5f7b41325dec41f3cdce1153,-31.9550484,115.8618781,Cellarbrations,ChIJf95e2Ne6MioR6um71umpwFk,4,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","556 Hay Street, Perth"
5f7b41325dec41f3cdce1154,-31.95448439999999,115.8552423,The Heritage Wine Bar,ChIJE4s8qNW6MioRoOiGp7f7hGY,4.5,"[""restaurant"",""bar"",""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","131 Saint Georges Terrace, Perth"
5f7b41325dec41f3cdce1155,-31.95849759999999,115.8716782,BWS Perth,ChIJd2g82SO7MioRiySGnG2VyIg,4.3,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","231 Hay Street, East Perth"
5f7b41325dec41f3cdce1156,-31.95636099999999,115.8466556,Mounts Bay Liquor,ChIJG8tZJCqlMioRauTIAs_IsFA,3.7,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","130A Mounts Bay Road, Perth"
5f7b41325dec41f3cdce1157,-31.9380275,115.8701832,BWS Queens Tavern,ChIJI_tO8sO6MioR2KFw3GkWzQ4,4,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","520 Beaufort Street, Highgate"
5f7b41325dec41f3cdce1158,-31.9322049,115.8585924,Liquorland North Perth,ChIJT9Wze7a6MioR7MVSOnehFzw,3.5,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","391 Fitzgerald Street, North Perth"
5f7b41325dec41f3cdce1159,-31.94735399999999,115.83621,Burch Family Wines,ChIJY3cyg2uhMioRqLTdJF3Dqxo,4,"[""tourist_attraction"",""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","35 Hay Street, Subiaco"
5f7b41325dec41f3cdce115a,-31.9733322,115.8528828,Liquor Barons Windsor Cellars,ChIJywtcqjS7MioRNC5-NoKN-kc,4.1,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","112 Mill Point Road, South Perth"
5f7b41325dec41f3cdce115b,-31.9318085,115.8414764,Liquor Barons,ChIJnSWZQU-lMioRmc_MYtZj6hg,4.6,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","256 Oxford Street, Leederville"
5f7b41345dec41f3cdce115c,-31.9408823,115.8335945,BWS West Leederville,ChIJVWXbRT-lMioR2EdamDDNFB8,4.6,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","115 Cambridge Street, West Leederville"
5f7b41345dec41f3cdce115d,-31.9262441,115.8517148,Liquorland North Perth (Charles St),ChIJ50gtY7a6MioRqQwPeYhjN3o,4.5,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","Scarborough Beach Rd &, Charles Street, North Perth"
