_id,geometry.location.lat,geometry.location.lng,name,place_id,rating,types,user_ratings_total,vicinity
5f7e04c4c9df6b52a78dcbc5,-31.9481765,115.8571473,Geisha Bar,ChIJ4dyxzNO6MioR-9SJ7AhDwPQ,4.2,"[""bar"",""night_club"",""point_of_interest"",""establishment""]",195,"135A James Street, Northbridge"
5f7e04c4c9df6b52a78dcbc6,-31.9473669,115.8588038,Hit Studio Karaoke,ChIJXwWwhNG6MioR1BUB2Gr1Ghw,3.7,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",187,"64 Francis Street, Northbridge"
5f7e04c4c9df6b52a78dcbc7,-31.9519314,115.8553336,Belgian Beer Cafe,ChIJnbgPh9S6MioRNSlh-0mGJCo,4.2,"[""cafe"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",1604,"Cnr King St &, Murray Street, Perth"
5f7e04c4c9df6b52a78dcbc8,-31.9375724,115.8424114,Duende,ChIJP9VNJEilMioRyv5oOe5CGOs,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",480,"662 Newcastle Street, Leederville"
5f7e04c4c9df6b52a78dcbc9,-31.9555,115.8583336,Lalla Rookh,ChIJyxKsANa6MioRT2BRGUgrY88,4.1,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",315,"77 Saint Georges Terrace, Perth"
5f7e04c4c9df6b52a78dcbca,-31.94867899999999,115.842608,Crema Cafe,ChIJ_4Wj1y-lMioR3fH9kfuCB8c,4.2,"[""cafe"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",196,"1204 Hay Street, West Perth"
5f7e04c4c9df6b52a78dcbcb,-31.945978,115.8611007,The Moon,ChIJka7qIHuhMioRigmPqCi_4-8,4.5,"[""cafe"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",1005,"Shop 2/323 William Street, Northbridge"
5f7e04c4c9df6b52a78dcbcc,-31.9569416,115.8658981,Hula Bula Bar,ChIJ-VhaSya7MioRStlKJkp_P6k,4.4,"[""bar"",""point_of_interest"",""establishment""]",314,"12 Victoria Avenue, Perth"
5f7e04c4c9df6b52a78dcbcd,-31.9472331,115.8241936,Subiaco Hotel,ChIJGx1MnhalMioR0K4gqOe-6pY,3.8,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",569,"465 Hay Street, Subiaco"
5f7e04c4c9df6b52a78dcbce,-31.9477741,115.8559873,Paramount Nightclub,ChIJCbkGUtK6MioR8SHfGwMDwjE,2.6,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",110,"163 James Street, Northbridge"
5f7e04c4c9df6b52a78dcbcf,-31.95541690000001,115.8524094,Metro Bar and Bistro,ChIJSSdQSdW6MioRvhjUFBzU6Eo,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",141,"33 Mounts Bay Road, Perth"
5f7e04c4c9df6b52a78dcbd0,-31.9481267,115.8575705,Outback Jacks Northbridge - Australian Steak House,ChIJh3Tc0tO6MioRZVaZZDRAX6o,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",876,"124 James Street, Northbridge"
5f7e04c4c9df6b52a78dcbd1,-31.9376411,115.8417358,"Fibber McGee's",ChIJGxUtH0ilMioR21McbjtbWgk,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",577,"711 Newcastle Street, Leederville"
5f7e04c4c9df6b52a78dcbd2,-31.9464442,115.859339,The Aberdeen Hotel,ChIJ9y3E7NG6MioR_aRJChSJ_tU,3.8,"[""bar"",""point_of_interest"",""establishment""]",483,"90 Aberdeen Street, Northbridge"
5f7e04c4c9df6b52a78dcbd3,-31.9492537,115.8590467,Ezra Pound,ChIJhbXbXNG6MioRPm9e4sPIKkE,4.5,"[""bar"",""point_of_interest"",""establishment""]",340,"189 William Street, Northbridge"
5f7e04c4c9df6b52a78dcbd4,-31.95657280000001,115.8590564,"Perth's Famous Wine Cruise",ChIJo7N76Sm7MioRT9n3KhtbTA0,4.7,"[""bar"",""point_of_interest"",""establishment""]",7,"3 Barrack Street, Perth"
5f7e04c5c9df6b52a78dcbd5,-31.9474455,115.8403318,Mayfair Lane Pub & Dining Room,ChIJrQEvdjClMioRgwkQU17chxY,4.3,"[""meal_takeaway"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",519,"72 Outram Street, West Perth"
5f7e04c5c9df6b52a78dcbd6,-31.9496292,115.8587993,The Bird,ChIJ-7j3T9G6MioRzVdUKV536DM,4.6,"[""bar"",""point_of_interest"",""establishment""]",540,"181 William Street, Northbridge"
5f7e04c5c9df6b52a78dcbd7,-31.949429,115.859307,Bivouac Canteen & Bar,ChIJA7pCQdG6MioRjrWA69h_7dU,4.7,"[""restaurant"",""meal_takeaway"",""bar"",""food"",""point_of_interest"",""establishment""]",449,"198 William Street, Perth"
5f7e04c5c9df6b52a78dcbd8,-31.938193,115.8570427,Hyde Park Hotel,ChIJMVLP2su6MioRUOVdCIG8tMY,4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",752,"331 Bulwer Street, West Perth"
5f7e04c5c9df6b52a78dcbd9,-31.9466589,115.8642891,The Ellington Jazz Club,ChIJ8wl4gNq6MioR3m9stamj434,4.6,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",824,"191 Beaufort Street, Perth"
5f7e04c5c9df6b52a78dcbda,-31.9308913,115.8590028,Rosemount Hotel,ChIJJa_dmba6MioRzOxOqFnvXq8,4.3,"[""bar"",""point_of_interest"",""establishment""]",1400,"459 Fitzgerald Street, North Perth"
5f7e04c5c9df6b52a78dcbdb,-31.94833299999999,115.824272,Bistro Felix,ChIJA1ELlhalMioRMJddDwdGqf8,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",162,"118-120 Rokeby Road, Subiaco"
5f7e04c5c9df6b52a78dcbdc,-31.925423,115.841573,Oxford Hotel,ChIJjc3AY1ClMioRew3ELXbVNFc,4.3,"[""bar"",""point_of_interest"",""establishment""]",571,"368 Oxford Street, Leederville"
5f7e04c5c9df6b52a78dcbdd,-31.9473133,115.8572922,Mustang Bar,ChIJExtDJdK6MioRZcVm8WY_Sc8,4.1,"[""bar"",""point_of_interest"",""establishment""]",1033,"46 Lake Street, Northbridge"
5f7e04c5c9df6b52a78dcbde,-31.92078460000001,115.8379483,The Cabin Small Bar,ChIJvQUmrFmlMioRFJUy-GB7y3o,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",317,"Upstairs, 174 Scarborough Beach Road, Mount Hawthorn"
5f7e04c5c9df6b52a78dcbdf,-31.94558079999999,115.8425527,Liquor Store Association,ChIJaeF8W7i6MioR8ksyMplPx-o,,"[""bar"",""liquor_store"",""point_of_interest"",""store"",""establishment""]",,"Centrepoint Tower, 25/123B Colin Street, West Perth"
5f7e04c5c9df6b52a78dcbe0,-31.9547237,115.8600668,43 Below Bar & Restaurant,ChIJH_FTJNa6MioRqnv6gXucMmQ,4.1,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",312,"43 Barrack Street, Perth"
5f7e04c5c9df6b52a78dcbe1,-31.9384003,115.8417909,Niche Bar,ChIJWchaIEilMioRqtLK7oCZyHU,3.9,"[""bar"",""point_of_interest"",""establishment""]",324,"7/663 Newcastle Street, Leederville"
5f7e04c5c9df6b52a78dcbe2,-31.9462443,115.8587765,Varsity Northbridge,ChIJUW6wvdG6MioR1nu7hJ6W7DI,4.5,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",1003,"94 Aberdeen Street, Northbridge"
5f7e04c5c9df6b52a78dcbe3,-31.9380519,115.8697429,Must Winebar,ChIJXRd8CMS6MioRDc1t5dftyEc,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",295,"519 Beaufort Street, Highgate"
5f7e04c5c9df6b52a78dcbe4,-31.9463728,115.8642975,Kuditj,ChIJz9BBh9q6MioRykBTU4UFnP4,5,"[""bar"",""food"",""point_of_interest"",""establishment""]",2,"201 Beaufort Street, Perth"
5f7e04c5c9df6b52a78dcbe5,-31.9498416,115.8637478,Cafe Crown,ChIJNd9DUde6MioRQCAKPAFlXcQ,4.3,"[""cafe"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",23,"85 Stirling Street, Perth"
5f7e04c5c9df6b52a78dcbe6,-31.9456468,115.8567375,"Jack Rabbit Slim's",ChIJ2ZxFC9K6MioRkYHFTjUQXdM,3.7,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",93,"133 Aberdeen Street, Perth"
5f7e04c5c9df6b52a78dcbe7,-31.94661,115.8573,Holey Moley Golf Club Northbridge,ChIJYeecF9K6MioRYJNFCO70AOY,4.4,"[""bar"",""point_of_interest"",""establishment""]",1295,"53 Lake Street, Northbridge"
5f7e04c5c9df6b52a78dcbe8,-31.9476333,115.8566806,Midori Teppanyaki and Bar,ChIJrShaM9O6MioRg10GDP5Entc,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",231,"27 Lake Street, Northbridge"
