,name,vicinity,Latitude,Longitude,rating,types,business_status
37,Highgayte Primary School Kindergarten,"4 Broome Street, Highgate",-31.9411905,115.87402,5.0,"[""night_club"",""spa"",""car_dealer"",""bar"",""school"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
38,Baxter's Supper Club,"677 Beaufort Street, Mount Lawley",-31.9335951,115.87275559999999,4.9,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
39,Inglewood milk factory,"Bedford Avenue, Subiaco",-31.950471899999997,115.83122620000002,,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
40,Chateau Garapov,Perth,-31.9597526,115.8723538,4.3,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
41,Club Kahuna,"83 Rokeby Road, Subiaco",-31.947570000000002,115.82375,3.8,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
42,Kings & Angels,"329 Charles Street, North Perth",-31.92838230000001,115.852268,,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
0,Wake Up! Sydney,"509 Pitt Street, Sydney",-33.882378700000004,151.2046676,4.4,"[""night_club"",""cafe"",""travel_agency"",""lodging"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
1,Toko Sydney,"490 Crown Street, Surry Hills",-33.886837,151.2138757,4.3,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
2,The Beresford,"354 Bourke Street, Surry Hills",-33.8832789,151.2166425,4.2,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
3,The Neutral Bay Club,"3 Westleigh Street, Neutral Bay",-33.8356886,151.2201331,4.4,"[""night_club"",""bar"",""restaurant"",""food"",""school"",""health"",""point_of_interest"",""establishment""]",OPERATIONAL
4,The Captains Balcony,"46 Erskine Street, Sydney",-33.866642399999996,151.2036552,4.5,"[""bar"",""night_club"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
5,O Bar and Dining,"Australia Square, 264, level 47 George Street, Sydney",-33.864967,151.207785,4.4,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
6,ARQ Sydney,"16 Flinders Street, Darlinghurst",-33.8813991,151.2173124,3.7,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
7,The ArtHouse Hotel,"275 Pitt Street, Sydney",-33.8723395,151.2078375,3.9,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
8,Home The Venue,"101/1-5 Wheat Road, Sydney",-33.8725296,151.20191090000003,3.2,"[""night_club"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
9,Chinese Laundry,"111 Sussex Street, Sydney",-33.868638,151.203427,3.4,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",CLOSED_TEMPORARILY
10,The Civic Hotel,"388 Pitt Street, Sydney",-33.877928000000004,151.207685,3.9,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
11,GPO Grand,"1 Martin Place, Sydney",-33.86760329999999,151.2078256,4.1,"[""restaurant"",""night_club"",""cafe"",""bar"",""food"",""point_of_interest"",""store"",""establishment""]",CLOSED_TEMPORARILY
12,Bungalow 8,"3 Lime Street, Sydney",-33.866144899999995,151.2013767,3.9,"[""bar"",""night_club"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
13,Twin Peeks Restaurant,"134 Forbes Street, Woolloomooloo",-33.87302289999999,151.2197299,4.5,"[""restaurant"",""night_club"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
14,The Scary Canary,"469 Kent Street, Sydney",-33.872999799999995,151.2049832,3.3,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
15,Retro,"81 Sussex Street, Sydney",-33.86775430000001,151.20318659999998,3.1,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
16,"Marquee Sydney, The Star","Pirrama Road, Pyrmont",-33.8673595,151.19556980000002,3.3,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
17,Pontoon Bar,"Cockle Bay Wharf, Wheat Road, Sydney",-33.8712255,151.202382,3.6,"[""bar"",""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
18,The Oxford Hotel,"134 Oxford Street, Darlinghurst",-33.880213899999994,151.2166639,4.1,"[""bar"",""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
19,The Eastern,"500 Oxford Street, Bondi Junction",-33.891709999999996,151.250987,4.0,"[""restaurant"",""night_club"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
20,Slide Lounge,"41 Oxford Street, Darlinghurst",-33.87787229999999,151.2133158,4.3,"[""night_club"",""restaurant"",""food"",""point_of_interest"",""establishment""]",CLOSED_TEMPORARILY
21,Strike Bowling King Street Wharf,"22 The Promenade, Sydney",-33.8672213,151.201675,4.2,"[""bowling_alley"",""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
22,Karaoke World,"185 Elizabeth Street, Sydney",-33.8724111,151.20965280000001,3.3,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
23,ivy precinct,"330 George Street, Sydney",-33.866572999999995,151.2075269,4.1,"[""bar"",""night_club"",""cafe"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
24,Echo Point,"Basement/262 Pitt Street, Sydney",-33.873428000000004,151.2083821,3.9,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
25,Ding Dong Dang,"7 Randle Street, Surry Hills",-33.8849766,151.20785790000002,3.7,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
26,Bada Bing Night Spot,"70A Darlinghurst Road, Potts Point",-33.8745637,151.2230504,3.6,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
27,East Sydney Hotel,"Cnr Crown &, Cathedral Street, Woolloomooloo",-33.8724756,151.2168684,4.3,"[""night_club"",""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
28,Claire's Kitchen at le Salon,"35 Oxford Street, Surry Hills",-33.87789799999999,151.21313600000002,4.4,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
29,CEO Karaoke,"Level 1, Number one Dixon Shopping Centre, 1 Dixon Street, Sydney",-33.87710879999999,151.20379509999998,3.1,"[""night_club"",""bar"",""general_contractor"",""point_of_interest"",""establishment""]",OPERATIONAL
30,K Square Karaoke Lounge,"Capitol Square, G4/730-732 George Street, Haymarket",-33.8794875,151.205582,4.0,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
31,Universal Sydney,"85-91 Oxford Street, Darlinghurst",-33.8788984,151.2145639,3.8,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
32,The Marlborough Hotel,"145 King Street, Newtown",-33.8933192,151.1832918,3.8,"[""bar"",""night_club"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
33,GALA KTV Club,"104 Bathurst Street, Sydney",-33.874374200000005,151.20837519999998,3.6,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
34,Strike Bowling Entertainment Quarter,"207/122 Lang Road, Sydney",-33.8945911,151.2272053,4.1,"[""bowling_alley"",""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
