_id,business_status,geometry.location.lat,geometry.location.lng,name,place_id,rating,types,user_ratings_total,vicinity
5f7df87df9ea96e61672dc99,OPERATIONAL,-33.912422,151.160837,Gasoline Pony,ChIJj2ViKmewEmsRPlzEO2trzt4,4.5,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",301,"115 Marrickville Road, Marrickville"
5f7df87df9ea96e61672dc9a,OPERATIONAL,-33.9028898,151.1436402,The Sausage Factory,ChIJ8eYHfHewEmsRy-b4i-tJpGU,4.5,"[""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",148,"380 New Canterbury Road, Dulwich Hill"
5f7df87df9ea96e61672dc9b,OPERATIONAL,-33.8933029,151.1557181,White Cockatoo Hotel,ChIJZS9GphOwEmsRv4vvsuL9Sog,4.3,"[""bar"",""point_of_interest"",""establishment""]",914,"30 Terminus Street, Petersham"
5f7df87df9ea96e61672dc9c,OPERATIONAL,-33.9130556,151.1725,MANIAX Axe Throwing - SYDNEY,ChIJdVZM9lqwEmsR0kZ0uDYtjpE,4.8,"[""bar"",""point_of_interest"",""establishment""]",557,"2/01/75 Mary Street, St Peters"
5f7df87df9ea96e61672dc9d,OPERATIONAL,-33.9263286,151.1592735,Riverview Pinup Pub Tempe,ChIJOwv_v42wEmsRK87j7bW-qUw,3.3,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",6,"900 Princes Highway, Tempe"
5f7df87df9ea96e61672dc9e,OPERATIONAL,-33.9103278,151.1757139,Town & Country Hotel,ChIJsa3g80-wEmsR3wfu37FXNNQ,4.2,"[""bar"",""point_of_interest"",""establishment""]",185,"2 Unwins Bridge Road, St Peters"
5f7df87df9ea96e61672dc9f,CLOSED_TEMPORARILY,-33.8987164,151.1725569,Zebra Bar,ChIJZ3woWTiwEmsR9ToGQQ905hQ,4.7,"[""bar"",""point_of_interest"",""establishment""]",6,"167 Enmore Road, Enmore"
5f7df87df9ea96e61672dca0,OPERATIONAL,-33.9158174,151.1745662,Oscars Grill,ChIJ97Z_G1qwEmsRnt160oLgHM4,4.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",9,"Southern Cross Hotel, 340 Princes Highway, St Peters"
5f7df87df9ea96e61672dca1,OPERATIONAL,-33.8989762,151.1731862,Jacoby’s Tiki Bar,ChIJafLjQjiwEmsRXoy09xcPE9g,4.6,"[""bar"",""point_of_interest"",""establishment""]",331,"154 Enmore Road, Enmore"
5f7df87df9ea96e61672dca2,OPERATIONAL,-33.898695,151.173345,Stanbuli,ChIJXWJmTziwEmsRsXVPwmDaCBs,4.5,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",313,"135 Enmore Road, Enmore"
5f7df87df9ea96e61672dca3,OPERATIONAL,-33.898107,151.174359,Young Henrys,ChIJaVOrzTmwEmsRWg9OyFOHzug,4.5,"[""bar"",""food"",""point_of_interest"",""establishment""]",300,"76 Wilford Street, Newtown"
5f7df87df9ea96e61672dca4,OPERATIONAL,-33.8918179,151.1370582,"Vernon's Bar",ChIJx0R-ep-6EmsR0n8iJcUxQlk,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",59,"First Floor, 2 Moonbie Street, Summer Hill"
5f7df87df9ea96e61672dca5,OPERATIONAL,-33.8880093,151.1577672,"Norton's Irish Pub",ChIJI0nSzBCwEmsRYdQS64yO1us,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",427,"1 Norton Street, Leichhardt"
5f7df87df9ea96e61672dca6,OPERATIONAL,-33.8975129,151.1742571,"Trolley'd",ChIJtQvYytCxEmsR8rKxORj1IuU,4.9,"[""bar"",""food"",""point_of_interest"",""establishment""]",35,"2C Gladstone Street, Newtown"
5f7df87df9ea96e61672dca7,OPERATIONAL,-33.8880945,151.1592262,Clarence Hotel,ChIJ-WN_FRewEmsR-SNch_xvuR8,1,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",1,"450 Parramatta Road, Petersham"
5f7df87ef9ea96e61672dca8,CLOSED_TEMPORARILY,-33.8987469,151.1762113,The Vintage Cafe,ChIJA7IedTewEmsR-cLKZplHhQM,4.2,"[""cafe"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",169,"Shop 1/52-60 Enmore Road, Newtown"
5f7df87ef9ea96e61672dca9,OPERATIONAL,-33.88627160000001,151.1571083,Creek and Cella,ChIJGcZyqBCwEmsRt-feKwj8l7w,4.8,"[""bar"",""food"",""point_of_interest"",""establishment""]",186,"54 Norton Street, Leichhardt"
5f7df87ef9ea96e61672dcaa,OPERATIONAL,-33.8995556,151.177675,Holey Moley Golf Club Newtown,ChIJHXqvrzewEmsRrID2qZbdA60,4.2,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",801,"387 King Street, Newtown"
5f7df87ef9ea96e61672dcab,OPERATIONAL,-33.8991825,151.1775825,Argie BarGee,ChIJ_4rBqTewEmsRQqVSw-W3_Fg,3.5,"[""bar"",""food"",""point_of_interest"",""establishment""]",2,"377 King Street, Newtown"
