LC_PLY_PID,DT_CREATE,DT_RETIRE,LOC_PID,NAME,POSTCODE,PRIM_PCODE,LOCCL_CODE,DT_GAZETD,STATE_PID
29852,"""2019-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4443,WOOLWICH,,,G,"""1899-11-30T00:00:00.000Z""",1
31139,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4193,WARRAGAMBA,,,G,"""1899-11-30T00:00:00.000Z""",1
31143,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3624,SOUTH MAITLAND,,,G,"""1899-11-30T00:00:00.000Z""",1
31152,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4270,WERRINGTON,,,G,"""1899-11-30T00:00:00.000Z""",1
15923,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3131,OSWALD,,,G,"""1899-11-30T00:00:00.000Z""",1
24911,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3362,RED ROCK,,,G,"""1899-11-30T00:00:00.000Z""",1
14911,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW186,BAR BEACH,,,G,"""1899-11-30T00:00:00.000Z""",1
7644,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW771,CALLAGHANS CREEK,,,G,"""1899-11-30T00:00:00.000Z""",1
24113,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3528,SAVERNAKE,,,G,"""1899-11-30T00:00:00.000Z""",1
25260,"""2015-12-01T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2537,MARYS MOUNT,,,G,"""1899-11-30T00:00:00.000Z""",1
25200,"""2015-12-01T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3419,ROCKY RIVER,,2358,G,"""1899-11-30T00:00:00.000Z""",1
18010,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW663,BULLA,,,G,"""1899-11-30T00:00:00.000Z""",1
27050,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW926,CHOWAN CREEK,,,G,"""1899-11-30T00:00:00.000Z""",1
18012,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3875,THE ROCKS,,2000,G,"""1899-11-30T00:00:00.000Z""",1
18020,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2711,MOOKERAWA,,,G,"""1899-11-30T00:00:00.000Z""",1
27076,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1194,CUTTAGEE,,,G,"""1899-11-30T00:00:00.000Z""",1
19349,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4388,WOLLOMOMBI,,,G,"""1899-11-30T00:00:00.000Z""",1
18896,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW449,BOHENA CREEK,,,G,"""1899-11-30T00:00:00.000Z""",1
19208,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4204,WARREGAH ISLAND,,,G,"""1899-11-30T00:00:00.000Z""",1
19211,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3945,TOONUMBAR,,,G,"""1899-11-30T00:00:00.000Z""",1
28901,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1460,ESSINGTON,,,G,"""1899-11-30T00:00:00.000Z""",1
19212,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2931,NARRANDERA,,,G,"""1899-11-30T00:00:00.000Z""",1
19213,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2360,LINDESAY,,,G,"""1899-11-30T00:00:00.000Z""",1
19215,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW5000,BACK CREEK,,2372,G,"""1899-11-30T00:00:00.000Z""",1
19498,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3449,ROSSGOLE,,,G,"""1899-11-30T00:00:00.000Z""",1
28618,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4,ABERCROMBIE,,,G,"""1899-11-30T00:00:00.000Z""",1
7473,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2561,MCCULLYS GAP,,,G,"""1899-11-30T00:00:00.000Z""",1
